municipality,country,iso3c,year,original_wfd_id,population_served,waste_gen_rate_kg_cap_day,comp_pct_food_organic,comp_pct_paper_cardboard,comp_pct_plastic,comp_pct_glass,comp_pct_metal,comp_pct_other,collection_pct_formal,collection_pct_informal,treatment_pct_recycling_composting,treatment_pct_thermal,treatment_pct_landfill,composition_sum_pct,composition_sum_flag
Ulcinj,Montenegro,MNE,2020,4.0,26179.0,1.75,13.0,6.0,9.0,3.0,19.0,50.0,0.0,0.0,0.0,0.0,100.0,100.0,False
Rishikesh,India,IND,2021,1.0,106320.0,0.295,8.0,12.0,2.0,1.0,8.0,69.0,1.0,5.0,0.0,0.0,0.0,100.0,False
Haridwar,India,IND,2021,2.0,251197.0,0.91,5.0,7.0,1.0,1.0,8.0,78.0,1.0,5.0,0.0,0.0,0.0,100.0,False
Tulum,Mexico,MEX,2021,3.0,44000.0,2.57,10.1,14.5,7.6,2.6,24.4,40.8,0.0,0.0,59.0,0.0,100.0,100.0,False
Sirinhaém,Brazil,BRA,2021,5.0,47351.0,0.49,6.0,8.0,2.0,3.0,21.0,60.0,0.0,0.0,50.0,0.0,100.0,100.0,False
Maragogi,Brazil,BRA,2021,6.0,59743.0,0.8,7.0,9.0,2.0,3.0,19.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,False
Barreiros,Brazil,BRA,2021,7.0,43806.0,0.58,7.0,8.0,2.0,4.0,21.0,58.0,0.0,0.0,50.0,0.0,100.0,100.0,False
Porto Seguro,Brazil,BRA,2021,8.0,257204.0,1.05,7.0,14.0,1.0,2.0,4.0,71.0,0.0,0.0,0.0,0.0,0.0,99.0,False
Rio Formoso,Brazil,BRA,2021,9.0,23794.0,0.61,11.0,9.0,2.0,3.0,19.0,57.0,0.0,0.0,0.0,0.0,100.0,101.0,False
São José da Coroa Grande,Brazil,BRA,2021,10.0,40206.0,0.48,10.0,12.0,1.0,8.0,17.0,52.0,0.0,0.0,50.0,0.0,100.0,100.0,False
Tamandaré,Brazil,BRA,2021,11.0,57056.0,0.6,5.0,8.0,2.0,3.0,21.0,61.0,0.0,0.0,50.0,0.0,100.0,100.0,False
Astypalea,Greece,GRC,2021,12.0,1334.0,2.23,13.0,22.0,8.0,6.0,12.0,39.0,0.0,0.0,100.0,0.0,0.0,100.0,False
Skiathos,Greece,GRC,2021,13.0,6088.0,3.58,24.0,17.0,7.0,3.0,11.0,37.0,0.0,0.0,100.0,0.0,93.0,99.0,False
Belgrade,Serbia,SRB,2021,15.0,1534349.0,1.08,14.0,16.0,10.0,3.0,6.0,51.0,0.0,0.0,34.0,100.0,95.0,100.0,False
Fnideq,Morocco,MAR,2021,16.0,92000.0,0.84,7.0,19.0,1.0,1.0,10.0,61.0,0.0,0.0,0.0,0.0,100.0,99.0,False
Huế,Vietnam,VNM,2021,92.0,488157.0,0.83,3.48,15.58,0.9,0.64,12.0,67.4,0.0,0.0,0.0,0.0,78.0,100.0,False
Bahir Dar,Ethiopia,ETH,2021,105.0,284432.0,0.56,4.762,12.256,1.909,1.406,29.435,50.232,1.0,30.0,33.3,0.0,0.0,100.0,False
