municipality,country,iso3c,year,measurement_name,measurement_value,measurement_unit,original_variable_name
Ulcinj,Montenegro,MNE,2020,total_population_served_by_the_msw_management_system,26179.0,Number,q_1
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,Total waste collected in 2019 was 14202 tones. Population with tourist overnights makes avarage of 24788. Waste collection coverage according to JKP officials is 91%.                                                                   14202*1000/91%/24788/365,Text,q_1_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,0.33,Score 0-1,q_1_reliability
Ulcinj,Montenegro,MNE,2020,average_msw_generation_rate_kg_per_capita_per_day,1.75,kg/cap/day,q_2
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_food_and_organic_waste_percent,13.0,%,q_3_1
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_paper_and_cardboard_percent,6.0,%,q_3_2
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_plastic_percent,9.0,%,q_3_3
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_glass_percent,3.0,%,q_3_4
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_metal_percent,19.0,%,q_3_5
Ulcinj,Montenegro,MNE,2020,waste_composition_percentage_of_other_waste_percent,50.0,%,q_3_6
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,Local municipal and non-hazardous construction waste management plan for Municipality of Ulcinj 2016-2020,Text,q_3_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,0.33,Score 0-1,q_3_reliability
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_food_and_organic_tonnes_per_day,5.06,t/d,q_4_1
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_paper_and_cardboard_tonnes_per_day,2.33,t/d,q_4_2
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_plastic_tonnes_per_day,3.5,t/d,q_4_3
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_glass_tonnes_per_day,1.09,t/d,q_4_4
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_metal_tonnes_per_day,7.39,t/d,q_4_5
Ulcinj,Montenegro,MNE,2020,amount_of_waste_generated_other_waste_tonnes_per_day,19.45,t/d,q_4_6
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,There are no incinerations or advanced thermal threatments in this area,Text,q_4_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,1.0,Score 0-1,q_4_reliability
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_food_and_organic_tonnes_per_day,0.0,t/d,q_5_1
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_5_2
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_plastic_tonnes_per_day,0.0,t/d,q_5_3
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_glass_tonnes_per_day,0.0,t/d,q_5_4
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_metal_tonnes_per_day,0.0,t/d,q_5_5
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_energy_recovery_other_waste_tonnes_per_day,0.0,t/d,q_5_6
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,There is no separation of waste at source or sorting of waste of any kind,Text,q_5_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,1.0,Score 0-1,q_5_reliability
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_food_and_organic_tonnes_per_day,0.0,t/d,q_6_1
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_6_2
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_plastic_tonnes_per_day,0.0,t/d,q_6_3
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_glass_tonnes_per_day,0.0,t/d,q_6_4
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_metal_tonnes_per_day,0.0,t/d,q_6_5
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_formally_treated_recycling_composting_other_waste_tonnes_per_day,0.0,t/d,q_6_6
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,1.0,Score 0-1,q_6_reliability
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_food_and_organic_tonnes_per_day,0.0,t/d,q_7_1
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_7_2
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_plastic_tonnes_per_day,0.0,t/d,q_7_3
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_glass_tonnes_per_day,0.1,t/d,q_7_4
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_metal_tonnes_per_day,0.0,t/d,q_7_5
Ulcinj,Montenegro,MNE,2020,amount_of_waste_collected_informally_treated_recycling_composting_other_waste_tonnes_per_day,0.0,t/d,q_7_6
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,There is no informal collection service that collects waste from households,Text,q_7_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,0.33,Score 0-1,q_7_reliability
Ulcinj,Montenegro,MNE,2020,pct_of_waste_collected_by_the_formal_service_chain_incl_treatment_percent,0.0,%,q_8_1
Ulcinj,Montenegro,MNE,2020,pct_of_waste_collected_by_the_informal_service_chain_percent,0.0,%,q_8_2
Ulcinj,Montenegro,MNE,2020,source_methodology_source_methodology,"There is no informal collection service that collects waste from households
There is no informal collection service that collects waste from households
",Text,q_8_meta
Ulcinj,Montenegro,MNE,2020,reliability_score_reliability_score,1.0,Score 0-1,q_8_reliability
Ulcinj,Montenegro,MNE,2020,waste_treatment_and_disposal_formally_managed_pct_recycled_composted,0,% of formally collected,q_9_1
