wfd-baselines
study_name,study_year,ID,study_id,set_id,q_1,q_1_meta,q_1_comments,q_1_reliability,q_2,q_3_1,q_3_2,q_3_3,q_3_4,q_3_5,q_3_6,q_3_meta,q_3_comments,q_3_reliability,q_4_1,q_4_2,q_4_3,q_4_4,q_4_5,q_4_6,q_4_meta,q_4_comments,q_4_reliability,q_5_1,q_5_2,q_5_3,q_5_4,q_5_5,q_5_6,q_5_meta,q_5_comments,q_5_reliability,q_6_1,q_6_2,q_6_3,q_6_4,q_6_5,q_6_6,q_6_meta,q_6_comments,q_6_reliability,q_7_1,q_7_2,q_7_3,q_7_4,q_7_5,q_7_6,q_7_meta,q_7_comments,q_7_reliability,q_8_1,q_8_2,q_8_meta,q_8_comments,q_8_reliability,q_9_1,q_9_meta,q_9_comments,q_9_1_reliability,q_9_2,q_9_2_reliability,q_9_3,q_9_3_reliability,q_10_1,q_10_2,q_10_3,q_10_4,q_10_meta,q_10_comments,q_10_reliability,q_11_1,q_11_2,q_11_meta,q_11_comments,q_11_reliability,q_12_1,q_12_2,q_12_meta,q_12_comments,q_12_reliability,q_13_1,q_13_2,q_13_meta,q_13_comments,q_13_reliability,q_14_1,q_14_2,q_14_3,q_14_meta,q_14_comments,q_14_reliability,q_15_1,q_15_2,q_15_3,q_15_4,q_15_5,q_15_6,q_15_meta,q_15_comments,q_15_reliability,q_16_1,q_16_2,q_16_meta,q_16_comments,q_16_reliability,q_17_1,q_17_2,q_17_3,q_17_4,q_17_meta,q_17_comments,q_17_reliability,q_18_1,q_18_2,q_18_3,q_18_meta,q_18_comments,q_18_reliability,q_19_1,q_19_2,q_19_3,q_19_4,q_19_meta,q_19_comments,q_19_reliability,q_20_1,q_20_2,q_20_3,q_20_4,q_20_meta,q_20_comments,q_20_reliability,q_21_1,q_21_2,q_21_3,q_21_meta,q_21_comments,q_21_reliability,updated_at,deleted_at
"Ulcinj, Montenegro - 2020",2020,4,47,1,26179,Total waste collected in 2019 was 14202 tones. Population with tourist overnights makes avarage of 24788. Waste collection coverage according to JKP officials is 91%.                                                                   14202*1000/91%/24788/365,,0.33,1.75,13,6,9,3,19,50,Local municipal and non-hazardous construction waste management plan for Municipality of Ulcinj 2016-2020,,0.33,5.06,2.33,3.5,1.09,7.39,19.45,There are no incinerations or advanced thermal threatments in this area,,1.00,0,0,0,0,0,0,There is no separation of waste at source or sorting of waste of any kind,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0.1,0,0,There is no informal collection service that collects waste from households,,0.33,0,0,"There is no informal collection service that collects waste from households
There is no informal collection service that collects waste from households
",,1.00,0,"There are no controlled facilities for sorting of waste
There are no controlled facilities for energy from waste
There is Regional sanitary landfil Možura for depositing all collected waste by JKP
",,0.66,0,0.66,100,0.66,3.000,4.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,0,7.00,,,0.33,4.000,3.000,3.000,,,0.66,7.000,2.000,4.000,4.000,1.000,4.000,,,1.00,4.000,2.000,,,1.00,3.000,2.000,2.000,2.000,,,0.66,3.000,3.000,4.000,,,1.00,5.000,7.000,7.000,7.000,,,1.00,5.000,7.000,7.000,7.000,,,1.00,5.000,7.000,7.000,,,0.66,2024-09-17 10:50:37,
"Rishikesh, India - 2021",2021,1,36,1,106320,,,0.33,0.295,8,12,2,1,8,69,,,1.00,1.25458,3.04862,0.31364,0.15682,2.50915,21.6414,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,1.25458,0.37637,0.31364,0.15682,0,0,,,1.00,1,5,"
",,0.66,0,"

",,0.66,0,0.66,0,0.66,3.000,2.000,3.000,4,,,0.66,4.000,4.000,,,0.33,0,7.00,,,0.33,0,4.00,,,0.33,4.000,4.000,3.000,,,0.66,7.000,2.000,1.000,1.000,2.000,2.000,,,1.00,3.000,1.000,,,1.00,5.000,4.000,5.000,5.000,,,0.66,3.000,4.000,3.000,,,0.66,7.000,5.000,5.000,5.000,,,0.33,7.000,5.000,5.000,5.000,,,0.33,3.000,2.000,2.000,,,0.66,2024-09-17 10:50:34,
"Haridwar, India - 2021",2021,2,38,1,251197,,,0.66,0.91,5,7,1,1,8,78,,,0.66,5.71473,11.5209,1.14295,1.14295,18.2871,178.3,,,1.00,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,5.71473,1.60012,1.14295,1.14295,0,0,,,1.00,1,5,,,0.33,0,,,0.66,0,0.66,0,0.66,3.000,2.000,2.000,2,,,0.66,4.000,3.000,,,0.33,0,7.00,,,0.33,0,4.00,,,0.33,3.000,4.000,3.000,,,0.66,7.000,2.000,3.000,1.000,2.000,2.000,,,1.00,3.000,1.000,,,0.33,5.000,5.000,5.000,5.000,,,0.66,3.000,4.000,2.000,,,0.66,5.000,7.000,7.000,7.000,,,0.33,7.000,7.000,7.000,7.000,,,0.33,3.000,2.000,2.000,,,0.66,2024-09-17 10:50:35,
"Tulum, Mexico - 2021",2021,3,45,1,44000,,,0.66,2.57,10.1,14.5,7.6,2.6,24.4,40.8,,,0.66,7,12,2,1,24,44,,,0.66,0,0,0,0,0,0,,,0.66,1.74,0.87,3.11,0.54,0.31,0.5,,,0.66,1.2,0.5,2.5,0.8,0,0,,,0.66,0,0,"

",,0.66,59,"

Level of disposal facility: BASIC, according to WaCT ladder
",,0.66,0,0.66,100,0.66,2.000,2.000,4.000,4,,,0.66,3.000,3.000,,,0.33,5,3.00,,,0.33,20,1.00,,,0.33,4.000,4.000,4.000,,,0.66,7.000,4.000,4.000,1.000,4.000,4.000,,,1.00,2.000,1.000,,,1.00,4.000,1.000,7.000,5.000,,,0.66,1.000,7.000,5.000,,,1.00,5.000,1.000,7.000,5.000,,,0.33,7.000,1.000,7.000,7.000,,,0.33,1.000,7.000,7.000,,,0.66,2024-09-17 10:50:36,
"Sirinhaém, Brazil - 2021",2021,5,50,1,47351,,,0.66,0.49,6,8,2,3,21,60,,,0.66,0.9,1.7,0.4,0.5,4.8,14,,,0.00,0,0,0,0,0,0,,,0.00,0,0,0,0,0,0,,,0.00,0.4,0.1,0,0.1,0,0,,,0.00,0,0,,,0.00,50,,,1.00,0,1.00,100,1.00,3.000,3.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,4.00,,,0.33,4.000,4.000,4.000,,,0.66,3.000,3.000,3.000,3.000,4.000,4.000,,,1.00,3.000,3.000,,,0.33,4.000,4.000,4.000,4.000,,,0.66,3.000,4.000,3.000,,,1.00,4.000,2.000,5.000,5.000,,,0.33,4.000,4.000,7.000,4.000,,,0.33,5.000,7.000,3.000,,,0.66,2024-09-17 10:50:39,
"Maragogi, Brazil - 2021",2021,6,51,1,59743,,,0.66,0.8,7,9,2,3,19,60,,,0.66,2.1,3.3,0.7,1,8.9,28.5,,,0.66,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,1.3,0.9,0,0.6,0,0,,,0.33,0,0,,,1.00,0,,,1.00,0,1.00,100,1.00,3.000,3.000,4.000,3,,,1.00,3.000,4.000,,,1.00,0,7.00,,,1.00,15,3.00,,,1.00,4.000,4.000,4.000,,,1.00,3.000,3.000,3.000,3.000,4.000,4.000,,,1.00,3.000,3.000,,,1.00,4.000,4.000,3.000,4.000,,,0.66,3.000,4.000,3.000,,,0.66,5.000,5.000,5.000,5.000,,,0.66,4.000,4.000,7.000,4.000,,,0.66,5.000,7.000,3.000,,,1.00,2024-09-17 10:50:40,
"Barreiros, Brazil - 2021",2021,7,52,1,43806,,,0.66,0.58,7,8,2,4,21,58,,,1.00,0.9,1.6,0.5,0.6,4.6,12.7,,,1.00,0,0,0,0,0,0,,,0.00,0,0,0,0,0,0,,,0.00,0.7,0.3,0,0.4,0,0,,,0.33,0,0,,,0.00,50,,,1.00,0,0.66,100,1.00,2.000,3.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,4.00,,,0.33,4.000,4.000,4.000,,,0.66,4.000,3.000,4.000,4.000,4.000,4.000,,,1.00,3.000,3.000,,,0.33,3.000,3.000,3.000,4.000,,,0.66,2.000,4.000,3.000,,,1.00,5.000,5.000,5.000,5.000,,,0.33,5.000,3.000,5.000,5.000,,,0.33,5.000,7.000,5.000,,,0.66,2024-09-17 10:50:41,
"Porto Seguro, Brazil - 2021",2021,8,54,1,257204,,,0.00,1.05,7,14,1,2,4,71,,,0.00,19.9,36.7,3.2,4.1,11.7,192.6,,,0.00,0,0,0,0,0,0,,,0.00,0,0,0,0,0,0,,,0.00,0,0.6,0,0.2,0,0,,,0.00,0,0,,,0.00,0,,,1.00,0,1.00,0,1.00,4.000,3.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,4.00,,,0.33,4.000,4.000,4.000,,,0.66,3.000,3.000,3.000,4.000,4.000,2.000,,,1.00,3.000,3.000,,,0.33,5.000,5.000,5.000,5.000,,,0.66,3.000,4.000,3.000,,,1.00,5.000,5.000,5.000,5.000,,,0.33,3.000,1.000,7.000,7.000,,,0.33,3.000,7.000,4.000,,,0.66,2024-09-17 10:50:42,
"Rio Formoso, Brazil - 2021",2021,9,55,1,23794,,,0.00,0.61,11,9,2,3,19,57,,,0.00,0.5,1,0.2,0.3,2.7,8.2,,,0.66,0,0,0,0,0,0,,,1.00,0,0,0,0,0,0,,,1.00,1,0.3,0,0.1,0,0,,,0.33,0,0,,,1.00,0,,,1.00,0,1.00,100,1.00,3.000,3.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,3.00,,,0.33,4.000,4.000,4.000,,,0.66,3.000,3.000,3.000,3.000,4.000,4.000,,,1.00,3.000,3.000,,,0.33,4.000,4.000,4.000,4.000,,,0.66,2.000,3.000,3.000,,,1.00,4.000,2.000,5.000,5.000,,,0.33,4.000,3.000,7.000,4.000,,,0.33,5.000,7.000,3.000,,,0.66,2024-09-17 10:50:43,
"São José da Coroa Grande, Brazil - 2021",2021,10,56,1,40206,test,,0.00,0.48,10,12,1,8,17,52,,,0.00,0.7,1.6,0.2,0.4,3.3,9.9,,,0.00,0,0,0,0,0,0,,,0.00,0,0,0,0,0,0,,,0.00,1.1,0.6,0,1,0,0,,,0.00,0,0,,,0.00,50,,,1.00,0,0.66,100,1.00,2.000,2.000,4.000,4,,,0.66,3.000,4.000,,,0.33,0,7.00,,,0.33,15,3.00,,,0.33,4.000,4.000,4.000,,,0.66,3.000,3.000,3.000,3.000,4.000,4.000,,,1.00,3.000,3.000,,,0.33,3.000,3.000,3.000,4.000,,,0.66,3.000,4.000,3.000,,,1.00,5.000,5.000,5.000,5.000,,,0.33,3.000,3.000,7.000,4.000,,,0.33,5.000,7.000,3.000,,,0.66,2024-09-17 10:50:45,
